report,session_id,report_date,specs_driven,cost,overall_success,failure_reason,session_type,duration_minutes,cost_per_minute,files_touched,cost_per_file,notes
2026-07-22T00-50-00Z-operator,2026-07-22T00-50-00Z-operator,2026-07-22,13,$229.97,completed,,orchestration,108.88,$2.11,134,$1.72,"58 PRs merged; 13 implementation specs landed. P0 complete except the standing guard (guard-test-doubles-from-production-behavior never implemented — instance fixed, recurrence not prevented); P1 #1/#2/#3 complete; P1 #4 core chain landed. Headline: planned specs and the mutation gate disagree about done — 9 of 11 early implement runs stalled surviving_mutation_failed after satisfying every written AC plus green gate and green CI; 8 were genuine gaps and the gate was right every time. Fixed systemically by #1948 (plan step emits a both-direction guard criterion per code-touching subspec); it passed its own gate first try and later specs improved (#1961 cleared the gate first try with review on). Second lesson: AC-tightening converges locally but grows the spec — dispatch-to-digest-keyed-daemon failed 6 ways incl. contract_miss at 0/9 criteria, landing only after a split into 3 separate specs (#1955). Bounce ritual removed (+173/-885); advanceLoadedRevision deleted. 8 seeds incl. quota-cascade asymmetry and the actuator idle-watchdog gap (v1 uses the same 600s bound but also a 90s idle watchdog). Runbook corrected twice. cost=$229.97 is OPERATOR API only; agent runs are on subscription. duration=API time; wall 14h51m. 898 lines added / 58 removed by the operator directly; 5032/1475 across 134 files including agent work."
2026-07-22T13-30-00Z-operator,2026-07-22T13-30-00Z-operator,2026-07-23,15,$74.97,partial,P0-4 advisory delivery blocked+seeded (#2020),orchestration,45.78,$1.64,118,$0.64,"15 specs driven, 14 landed and archived, 1 blocked (P0-4 advisory delivery). All 6 P1 + 3 of 4 P0 complete. ~42 PRs merged. Headline: all P1 landed; P0-4 reporter landed but delivery hit a store-lifecycle ordering bug (advisory as post-settle store work regresses two daemon tests green on main) — 3 implement attempts reproduced it, seeded #2020 for a plan pass rather than force-merged. Spec-size failure mode confirmed twice more (contract_miss until split, #2002/#2011). Two plans caught wrong diagnoses and retargeted before implement. Review usable again after P0 #2 (timeout attribution #1990 + idle watchdog #1998 + preserve-committed-work #2003). 4 seeds; 2 operator hand-fixes. cost=$74.97 OPERATOR API only; duration=API time; wall 23h31m54s. 733 lines added / 243 removed by operator directly; 7649/813 across 118 files incl. agent work."
2026-07-23T13-20-00Z-operator,2026-07-23T13-20-00Z-operator,2026-07-24,13,$93.53,partial,run-list-query-limit-cap stranded (8 attempts; both agents iteration_timeout in a degraded window),orchestration,53.13,$1.76,,,"13 specs driven, 11 landed and archived, 1 stranded, 1 planned-not-implemented. P0 done; P1 100%; P2 #7 100%; P2 #5 1-of-3; P2 #6 blocked. Headline: the coverage advisory now runs inside the write step before the terminal boundary, keeping the two daemon tests green that regressed on all 3 prior attempts. Second headline: 5 specs passed CI + ready gate + all criteria and still failed mutation verification on an unasserted guard clause - the gate was right every time, and this is the measured cost of running with review off. 2 seeds filed; 2 queue inputs corrected before spending (obsolete P2 #7 premise, false harness blocker). Main went red once on a pre-existing real-clock flake (markdown-only commit), seeded with the guard hole that admitted it. cost=$93.53 OPERATOR API only; duration=API time; wall 1d 1h 1m."
2026-07-24T22-30-00Z-operator,2026-07-24T22-30-00Z-operator,2026-07-24,6,$117.30,success,,orchestration,82.13,$1.43,,,"6 impl specs landed: WAL store #2081, cursor stream-json #2088, query-limit-cap #2091, role-stalled #2095, run-log-and-wait #2101, dimension-filters #2110. All P0+P1 complete; P2 #5 TUI window untouched (now unblocked). Headline: the two infra defects that corrupted nearly every run for 3 sessions are fixed and verified live (journal_mode=wal; cursor streams). role_stalled root-caused from telemetry to cursor text-buffering; review reliable again and run ON. Recurring friction: load-induced phantom bun-spawn red gates (3 runs), intent finalization not promoting staged files (2 malformed PRs, recovered #2109), unsupported_resume_context finalization from digest rotation. cost OPERATOR API only; wall 5h47m."
2026-07-25T05-45-00Z-operator,2026-07-25T05-45-00Z-operator,2026-07-25,8,$143.50,success,,orchestration,110.15,$1.30,,,"40 PRs merged; 8 implementation specs landed: WAL sidecars #2119, progress-extended iteration wall #2121, lock-timeout resume #2122, TUI live window+collapse #2123 (P0), gate-timeout-not-a-red-gate #2137, surviving-mutation row honesty #2141, review-role bound #2145, plan-defaults-to-debate-review #2148. Headline: the ready gate spent ONE 10-min budget across all steps while the suite takes ~9 min, and the flake-retry re-ran the whole test step from the same budget -- so a flake at minute 5 guaranteed a 124 kill that reached the implement run as gateExitCode 1 and burned two ~12-min repair iterations on correct code. Config fixes: claude.implement was the only role on haiku (14 cursor implements 0 contract misses vs 5 claude/haiku 2 misses) -> sonnet-5 #2133; actuator rungs were opus-first against a 600s wall (two 600131/600123 failures) -> sonnet-first #2135 (548s pass), then bound made configurable at 1_800_000ms #2145. Plans ran unreviewed all session (10 runs, role=plan only, zero verdict docs) -- fixed #2148. Dominant tax: intent finalization failed 7 of 9 runs, 4 hand-recovered (#2116 #2130 #2142 #2151); its stated cause is REFUTED (#2144), discriminator unknown. Corrected two of my own claims: config staleness was snapshot binding replay not the daemon (#2140), and the runbook's restart-orphans-work line was stale (#2139). 1 PR left open+blocked (#2149, composeRunOperatorError complexity 26>24, needs a spec amendment). cost=$143.50 OPERATOR API only; agent runs on subscription. Agent order cursor->claude->cursor->claude."
2026-07-26T05-40-00Z-operator,2026-07-26T05-40-00Z-operator,2026-07-26,6,$165.91,success,,orchestration,105.78,$1.57,,,"16 PRs merged; 6 implementation specs landed: resume-admits-every-row #2157, snapshot-continue binding #2162, actuator-retry-reuses-verdict #2163, role-timeout escalation+exhausted-rungs #2164, P0 intent-finalization #2165+#2167, resume-finalizes-review-mutation #2170. HEADLINE: the P0 that failed 7 of 9 runs last session is complete AND verified in production -- a live intent run promoted its stage, cleaned both verdict sidecars, committed, pushed and opened #2168 with ZERO hand-recovery, on the same non-empty-verdict/actuator-ok profile that stranded a run 6h earlier. Measured, not assumed: aggregate bun run test = 697s/210 files; test:v2 = 84s wall but only 11.7s actual test time (~86% is per-file process spawn); implement role = 719 of 1113 agent minutes (65%), review debate only 119. 90 implement-minutes lost to 3 iteration_timeout kills at exactly 30.0m, each leaving 13-18 dirty files and ZERO commits -> P0 seed for next session. COST OF MY OWN ERRORS: four wrong conclusions, all from grepping tool output instead of reading exit codes -- phantom red main (seed filed then RETRACTED; check exits 0 before and after the 'fix'; noNonNullAssertion is warn-level), false-green formatting that sent #2165 to CI red, 'bun run fix has nothing to fix' (sandbox silently blocks writes to ~/.jarvis/worktrees), and 'tests eat the iteration' (test:v2 is 84s). A 5th: seeded per-iteration commits as missing when the feature exists (commitProgressIteration); operator's PR-history check settled it. Operator pushback caught 3 of 5. WHAT WORKED: fold the adjudicated verdict into the spec then re-dispatch -- #2157 landed 3rd try after one sentence authorizing an extraction (complexity 26>24 had killed 2 attempts); P0 landed after its verdict was folded in. Review caught 3 defects the mechanical gates passed. Actuator rungs are head-only BY DESIGN (spec 2026-07-04T04-43-37Z) so a declared 2nd actuator rung is dead config. cost=$165.91 OPERATOR API only; agent runs on subscription. Agent order cursor-first ~2h then claude-first."
2026-07-26T19-00-00Z-operator,2026-07-26T19-00-00Z-operator,2026-07-26,5,$53.55,success,,orchestration,44.70,$1.20,,,"19 PRs merged; 5 implementation specs driven, 4 landed on main and 1 (#2190 concurrent test runner) held at operator request at close. HEADLINE 1: the P0 was reproduced live TWICE while its own fix was in flight -- the idle-watchdog spec hit the 30-min iteration wall twice leaving ~420 insertions across 17-18 files with ZERO commits, and a third run lost 4 iterations the same way. Root cause found by reading code, not guessing: prepareWorkflowStep/buildCompletionStepWriteLoopInput set publishCompletion:false on every workflow step and commitProgressIteration returned early on exactly that. Plan also caught a hazard the seed missed: with per-iteration commits on, shrink's reset --mixed <sha>^ would unwind PAST the last iteration commit; fixed by anchoring on headBefore. HEADLINE 2: a measurement DELETED a planned optimization. The seed asserted ~86% of test wall clock was process spawn (extrapolated); measured residual is 1.2s of 574.4s = 0.2%, verified independently (/usr/bin/time real 0.04 vs bun's 43ms). Batching processes buys ~1 second. The agent declined to conclude anything about a runner change from the number and said so in the doc -- correct restraint. Reframed around concurrency instead: 5/5 pass, 321-330s mean 326s vs 697s baseline = 2.1x, zero load-dependent failures. Subspec 01's <=320s target was NOT met (1-10s above); it was a projection and the measured distribution superseded it rather than being re-rolled. REVIEW EARNED ITS KEEP: stacking the last subspec put 4 subspecs in one PR, so patch review saw code its own per-subspec reviews had passed, and found 3 real defects -- defaultSpawn registered only 'close' so a spawn ENOENT/EAGAIN under fan-out hung a pool worker forever; every test injected a fake spawn so the real transport was untested; and a NaN JARVIS_TEST_CONCURRENCY gave zero workers and aggregateExitCode([])===0, a passing run that executed nothing. COST OF MY OWN ERRORS: called a red test:v2 a blocker on #2176 when it was load-dependent (26/26 quiet); reported #2185 landed when --base had targeted the stack parent not main (gh said MERGED, main did not have it); misattributed unarchivable specs to the cleanup ordering seed until the operator noted they survived TWO cleanups (real cause seeded #2182); flagged review edits as scope drift after reading filenames not content. 4 of 5 caught by re-running or operator pushback. SANDBOX IS THE DOMINANT FALSE-DIAGNOSIS SOURCE: 3 times an empty sandboxed result read as signal -- jarvis run list in a Monitor -> 'fleet idle' twice while 3 implements ran, and ps -> 'no agents' while 3 claude agents wrote. Monitor ALWAYS runs sandboxed and cannot opt out; use backgrounded Bash with sandbox off. OPERATOR INTERRUPT: 2 rows in-progress+live with zero processes, run log hanging, daemon stop and run kill both refusing -- kill -9 + start reconciled them. That reconciliation settles orphans to killed, and a terminal killed row permanently fails cleanup's eligibility gate (#2182): the normal recovery path manufactures the thing that wedges cleanup. Config: iterationTimeoutMs/iterationCeilingMs 30->45min (uncommitted operator config). cost=$53.55 OPERATOR API only; agent runs on subscription. Claude-first throughout; cursor retracted pre-dispatch, codex available late and unused."
2026-07-27T03-30-00Z-operator,2026-07-27T03-30-00Z-operator,2026-07-27,7,$89.55,success,,orchestration,111.27,$0.80,,,"P0 and P1 complete: all 7 items landed (#2196 #2201 #2202 #2207 #2212 #2213 #2215). 25 PRs merged. HEADLINE: the kill design that failed 4 times shipped by DELETING the stall discriminant -- authorization is liveness, one AbortController per workflow invocation injected daemon-side onto steps (cannot come from the caller: steps cross IPC as JSON). HEADLINE 2: a shipped durability guarantee has never engaged -- write-loop.ts:396 commits only on kind==progress, implement runs settle done in one iteration, so 5 run rows showed zero iteration_commit records and 3 runs lost their entire worktree (9/10/10 files). RECOVERY IS CLOSED BOTH SIDES after surviving_mutation over ticked criteria: resume refuses (resume_unsupported on step kind, runbook claimed it was fixed) and implement exits already_complete. Both mutations were REAL coverage holes (cleanup.ts:149 stale-reset live-held probe filter untested; daemon.ts:1136 write-loop row counted as live workflow). Removed test-seam debt from 2 PRs: a mutable global and an input field that negated guards in production; replaced by real source mutation (6 tests fail vs 1). A test flake stranded a P0 -- fixed by hand since every jarvis path to fixing it ran the same slice; seed left OPEN because a bigger bound is mitigation not a fix. CAPACITY: the ~2-implement throttle was over-broad -- load 3.0/18 cores with 2 live runs; only the gate saturates. JARVIS_TEST_CONCURRENCY is honored and NOT stomped (unlike JARVIS_READY_TIER); daemon restarted at 4. COST OF MY OWN ERRORS: 4 wrong conclusions, 3 from reading an empty result of my OWN malformed query as system evidence -- grep 'live' matches 'not-live' (4 watchers spun 2h, operator caught it), telemetry 'has no run_id' (I queried runId; it also carries cost_usd), sandboxed TLS failure read as 'no open PRs'. Plus quoting a stale run id into the very entry-id trap I had just explained. 2 mechanical: git checkout -- to undo a mutation test, twice, reverting my own fix. All 6 now runbook gotchas (#2216). NOT SEEDED at operator call: cursor false quota at ~24s (3 occurrences, $1.48 of opus for work cursor would do free -- all claude spend this session traces to it). cost=$89.55 OPERATOR API only; agent runs on subscription. Cursor-first throughout."
2026-07-27T19-10-10Z-operator,2026-07-27T19-10-10Z-operator,2026-07-27,11,$107.91,success,,orchestration,75.08,$1.44,,,"36 PRs merged, zero open at close. Recovery batch complete (#2236 #2233 #2246) plus P1 (#2230 #2238 #2228); per-project pipelines slices 1 and 2 shipped (#2240 #2248 #2249 #2255 #2254). HEADLINE: spec size predicts implement success -- every subspec at 28-36 lines landed first try; the one planned at 157+125 cost two failed runs (first lost 753 uncommitted lines to idle_output_timeout with 13 criteria ticked and zero commits; second reddened ~10 workflow-dispatch tests at once). Seeded as intent-splits-by-surface and plan-splits-an-oversized-subspec (#2252), plan-side guard specified as AUTO-SPLIT not refusal, thresholds kept out of prompt text at operator direction. HEADLINE 2: slice 1b (#2248) treated an ABSENT projects.<key>.pipeline as malformed, refusing EVERY implement dispatch; both queued slice-2 runs died on it until the key was hand-added to config. Second-order, that same key broke jarvis1 outright (v1 rejects unknown project keys) -- 2c fixed it accept-and-ignore, 2b had written full v1 parsing which I reverted (v1 is maintenance-only). Seeded P0 #2253. AGENTS: codex strong on intents/plans throughout and correct on dependency blockers (1b, 2b both refused with ## Blocker until their prerequisite was IMPLEMENTED, not merely planned); codex implements went red twice on the terra rung, clean on sol after #2242 rebound implement to gpt-5.6-sol; claude implements all landed green. Two codex review-role stalls (183s, 143s) against the hardcoded 90s review idle budget blocked a plan lane twice -- the exact defect #2230 fixed, and the lane completed first try after. MANUAL: 6 interventions, each a harness gap -- gate-repair edited unrelated tests twice including an intent workflow committing scripts/test-slice.ts and .jarvis sidecars (#2243 closed, hand-landed as #2244, seeded); 1b workflow died invocation_error at review AFTER its write step committed twice, no PR and no gate, hand-published; 1b also shipped a production test-switch whose inversion test asserted its own canned error, removed; #2233 needed hand-written mutation coverage; #2246 CI stopped queueing on its branch entirely (empty commit, reopen, ready-flip all no-ops) so it was verified locally. MY ERRORS: claimed a run settled completed over a red gate -- durable log shows ready_gate_failed/resumable, I read a per-attempt boundary mid-tail (seed #2231 withdrawn, replaced #2239); claimed cleanup exits 0 on its socket error, inferred from a commit that came from the operator second run -- reproduced in an isolated JARVIS_HOME, it exits 1 (seed narrowed before filing, #2256); committed once to the primary checkout main because a cd into a worktree silently did not take effect (pushed to branch, main reset, nothing reached origin). cost=$107.91 OPERATOR API only; agent-side telemetry recorded $156.84 across 268 role invocations and 16.9h of agent wall time, all of it claude -- codex and cursor are subscription-billed at $0.00."
20260730T0940Z-operator-session,2026-07-30 operator session,2026-07-30,19,$71.78,success,,orchestration,682.2,$0.11,,,"45 PRs merged (19 implementations, 20 plans, 4 intents, 2 operator spec fixes) plus report/seeds and archive PRs. HEADLINE: an implement run shipped a MUTATION-VERIFICATION ARTIFACT inside its completion commit -- PR #2314 committed 'if (start !== -1) return null;' (inverse of the real guard) while the worktree WORKING COPY held correct source, so the run's own gate and a hand bun test both passed and CI failed 26 v1 tests; read HEAD, not the worktree, when CI-only failures appear. HEADLINE 2: #2313's brand-new ready_gate_out_of_scope classifier STRANDED a run over a failure that run CAUSED -- list-row-step-honesty broke a frame snapshot in a file it never edited, the classifier called it out of scope, refused repair, and advertised resumable; three identical resumes. Scope should be 'fails on base too', not 'not in diff'. PHASE GATE CLOSED: both in-flight specs (#2303 #2302) and all four slot-before intents (#2297 #2298 #2316 #2323); pipelines went 1-2 -> slices 3 (#2320 #2330 #2335), 4 (#2304 #2310 #2328), front of 5 (#2336). NOT usable end to end: terminal-action execution/settlement intents and the slice-6 proof remain. FAN-OUT: peak 8 concurrent lanes, load 15-25; three runs settled idle_output_timeout at peak and all recovered at lower load; two specs touching state-store.ts collided on migration id 015 and a hardcoded migration count. Plans/intents parallelize freely (~5 min each); throttle implements to 3-4. HAND WORK (7, each a harness gap): 5x bun run fix + resume on formatter-only red gates; one noExcessiveCognitiveComplexity extraction repair could not reach; 3 merge-conflict resolutions; 2 spec edits to unblock correct refusals (#2301 test doubles, #2321 wrapped (Manual) marker); 1 stale assertion the out-of-scope classifier forbade the agent from fixing; 1 mutation-killing test hand-written to unblock #2336. SEEDS (5): out-of-scope-gate-classification-strands-caused-failures, mutation-verification-artifact-reached-the-completion-commit, gate-repair-does-not-run-the-formatter, guard-inversion-criteria-produce-production-test-flags (agents keep adding setInvert*ForTest to production -- #2323 one, #2328 four, while #2326 existed to delete one), human-only-marker-read-from-first-line-only. CARRIED OVER as drafts, each one missing mutation test from done: #2337 fence (ready-gate-repair-fence.ts:37) and #2334 list-row (daemon.ts:884). CLEANUP: 43 worktrees retired, 426 merged refs pruned across 5 projects (first apply of #2315, operator-confirmed), 19 specs archived. cost=$71.78 OPERATOR API only; agent-side telemetry $12.53 across 412 role invocations (cursor 220 subscription-billed $0.00, codex 188, claude 4); 72 codex quota exits during the codex-first window, none fatal."
20260730T2050Z-operator-session,20260730T2050Z-operator-session,2026-07-30,7,$56.36,success,,orchestration,351.3,$0.16,,,"13 PRs merged (7 implementations, 4 plans, 1 runbook, 1 seeds/intent-fix) plus close-out. HEADLINE: PER-PROJECT-PIPELINES PHASE COMPLETE -- slices 5 (#2343 execute, #2348 settle) and 6 (#2352 e2e proof) shipped; jarvis pipeline start|list|wait|approve|reject|resume now works end to end. Both carried-over drafts cleared (#2337 fence, #2334 list-row), emptying the reliability-lane carryover. HEADLINE 2: mutation verification keeps failing on UNREACHABLE guards -- 5 of this session's hand fixes were branches the type system already proves impossible, where the honest fix is DELETING dead code, not adding a test. #2349 alone took three sequential resumes (workflow-runner.ts 2791, 2795, 3194), each fix exposing the next: two behind a checkpoint whose completionAgent is a required string, one a disjunct redundant with REVIEW_MUTATION_RESUMABLE_OUTCOME_KINDS already containing ready_gate_failed. Three sequential resumes on one branch is the tell. HEADLINE 3: three plan runs lost to an opaque contract_miss/artifact.exists that actually meant 'your acceptance bullet names two files' -- normalizePlanDraftSpecDir throws a precise message that validatePlanDraft discards in a bare catch (write.ts:216-224). One bun -e line diagnoses it. Seeded. AGENTS: cursor-only per operator direction, 64 role invocations, ZERO quota exits (63 ok, 1 error), 3.6h agent wall, $0.00 subscription-billed. SLICE 6 EXCEEDED THE ITERATION CEILING: 45min on one iteration, settled iteration_timeout with work committed by the per-iteration checkpoint but ZERO criteria ticked; hand-finished after running the same gates finalization would have (runtime smoke observed-clean, mutation verification pass over 9 candidates, integration suite exit 0, full aggregate green). Both verifiers are exported fns taking {worktreePath, runBase} -- hand-running them is cheap and closes most of the hand-finish risk. MY ERRORS: (1) merged to main 4x with 3 lanes live -- the launcher digests the source tree so each merge rotated the daemon key, daemon status read 'stopped' while the owning daemon was alive on the old key, and I reported healthy lanes as orphaned; 2 of 3 had already completed. Landed as runbook gotcha #2351. (2) proposed a seed on that, then withdrew it after checking -- PR not draft, all rows completed, nothing corrupted; operator error against documented behavior does not meet the seeding bar. (3) told the operator slice 6's six criteria were met and needed only ticking -- bun test does NOT typecheck, and two real compile errors (fake AsyncSubprocessRunner returning an object where the interface returns Promise<string>; builders map typed to real inputs not the widened map signature) plus biome failures were hiding behind green tests. (4) stacked 6 redundant background wait loops, which is what made the fleet look busier than it was. HAND WORK (10, each a harness gap): 5 mutation-site fixes; 3 merge conflicts incl. a MIGRATION ID COLLISION (018 claimed by two branches, renumbered to 019 + bumped the hardcoded count -- same trap as the morning session); 1 CI-only red (submodule working copy with no git identity: green locally because the operator machine has global git config, red on a fresh runner); 1 config edit (terminalAction added to projects.jarvis.pipeline, seeded). SEEDS (2): plan-draft-contract-swallows-the-normalizer-reason, pipeline-config-validation-blocks-unrelated-implement (#2336 made terminalAction required and a stale pipeline block then refused EVERY implement dispatch, a path that never reads pipelines). CLEANUP: 5 worktrees retired, 13 merged refs pruned, 5 specs archived; zero open PRs, zero live runs, zero active specs. One worktree retained (20260727T203911Z-intent-split-prompt-by-surface, uncommitted files, predates this session). cost=$56.36 OPERATOR API only (37m55s API, 5h51m wall); agent-side telemetry $0.00 across 64 cursor invocations."
